#t	e	a	u	I	OMEGA	omega	R_H
0.000000e+00	4.839266000000000e-02	7.203363010000000e+00	6.289384654468828e-01	2.278178272628198e-02	1.755035900629296e+00	2.575032598453654e-01	0.000000000000000e+00
6.283185e+03	4.841410309956515e-02	7.198245629521077e+00	5.286057318632387e+00	2.274750251638669e-02	1.755050409884646e+00	2.515049853530769e-01	2.873873213516260e-02
6.283185e+04	4.871782720385667e-02	7.153505869710393e+00	4.443823781488185e-01	2.269886308876819e-02	1.758347607174310e+00	2.534491752611855e-01	6.153089234293864e-02
6.283185e+05	6.254585222702062e-02	6.752193207315188e+00	4.920022470209060e+00	2.342227366843189e-02	1.979129174991932e+00	3.951448121400296e-01	1.251274141426255e-01
6.283185e+06	1.681303168540004e-02	5.391336917083690e+00	5.672558460269451e+00	3.278098127566964e-02	1.781593917987922e+00	2.539055927172419e+00	2.152471525492944e-01
step=3.398712e+09	t=7.342082e+06[yr]	test_particle062 is dead	swap with test_particle100
step=4.461438e+09	t=9.288654e+06[yr]	test_particle086 is dead	swap with test_particle099
step=8.130086e+09	t=1.534776e+07[yr]	test_particle073 is dead	swap with test_particle098
step=1.169971e+10	t=2.121242e+07[yr]	test_particle093 is dead	swap with test_particle097
step=1.628664e+10	t=2.899645e+07[yr]	test_particle026 is dead	swap with test_particle095
step=1.658738e+10	t=2.954498e+07[yr]	test_particle048 is dead	swap with test_particle094
step=1.741785e+10	t=3.106044e+07[yr]	test_particle004 is dead	swap with test_particle097
3.141593e+07	7.368519320082996e-02	5.165234296800892e+00	2.802852716191893e+00	3.426010205643280e-02	1.916345010893357e+00	3.688548627616428e+00	3.526313905687412e-01
