#[Semimajor_Axis]_over_30(AU)
#num object	ω(°)	Ω(°)	i(°)	e	q(AU)	a(AU)	M(°)	n(°/d)	Q(AU)	P(yrs)	H(mag)
(136199) Eris	151.3	35.9	44.2	0.44	37.74	67.66	204.6	0.002	97.59	557	-1.1
(134340) Pluto	113.7	110.3	17.1	0.25	29.62	39.59	38.7	0.004	49.57	249	-0.4
(136472) Makemake	296.6	79.5	29.0	0.15	38.71	45.76	159.0	0.003	52.81	310	-0.3
(136108) Haumea	239.3	121.9	28.2	0.19	35.14	43.34	212.1	0.003	51.53	285	0.2
(90377) Sedna	311.5	144.5	11.9	0.85	76.04	499.43	358.1	0.000	922.82	11161	1.5
(225088)	206.9	336.8	30.9	0.51	33.04	66.99	104.3	0.002	100.94	548	1.8
(90482) Orcus	72.8	268.6	20.6	0.22	30.84	39.45	175.7	0.004	48.07	248	2.2
(50000) Quaoar	152.8	188.8	8.0	0.04	41.91	43.44	290.7	0.003	44.97	286	2.4
2013 FY27	139.6	187.2	33.0	0.39	36.03	58.94	209.9	0.002	81.85	452	3.0
(174567) Varda	182.4	183.9	21.5	0.14	39.46	45.87	268.2	0.003	52.27	311	3.3
(55565)	293.6	297.5	24.4	0.13	41.23	47.50	294.2	0.003	53.76	327	3.4
(55636)	338.5	324.7	25.9	0.12	37.82	43.08	74.8	0.003	48.35	283	3.4
(202421)	222.3	307.8	25.7	0.15	36.67	43.16	224.2	0.003	49.66	284	3.4
(229762)	346.7	131.2	23.3	0.49	37.47	73.38	342.9	0.002	109.30	629	3.5
2014 UZ224	29.6	131.1	26.8	0.65	37.96	108.89	320.3	0.001	179.81	1136	3.5
(28978) Ixion	299.4	71.0	19.6	0.24	30.00	39.56	281.6	0.004	49.11	249	3.6
2015 RR245	261.4	211.7	7.6	0.59	33.69	81.44	322.7	0.001	129.19	735	3.7
2010 RF43	191.5	25.2	30.7	0.25	36.98	49.25	95.7	0.003	61.52	346	3.7
(208996)	13.8	252.1	13.6	0.18	32.55	39.60	230.2	0.004	46.65	249	3.7
(20000) Varuna	269.4	97.3	17.2	0.05	40.89	43.07	107.4	0.003	45.24	283	3.7
(145452)	172.5	186.9	19.3	0.02	40.58	41.38	341.4	0.004	42.18	266	3.7
(303775)	223.7	78.4	14.0	0.67	36.80	110.64	14.0	0.001	184.48	1164	3.7
(307261)	215.3	215.9	17.7	0.14	35.79	41.77	217.1	0.004	47.75	270	3.7
2014 EZ51	330.7	27.5	10.2	0.22	40.61	52.32	263.9	0.003	64.04	378	3.7
