#timeコマンド user のみ　プログラム自体の処理時間
#N	1回目	2回目	3回目
0	0.724	0.642	0.692
1	2.656	2.751	2.769
2	3.899	4.018	3.964
3	5.835	5.874	5.797
4	7.471	7.261	7.472
5	9.033	9.058	9.003
6	11.583	11.280	11.984
7	13.230	13.752	13.061
8	15.022	15.200	15.253
9	17.033	17.341	17.198
10	19.752	19.464	19.558
11	22.135	22.302	22.322
12	25.392	25.874	25.769
13	29.264	28.379	28.414
14	32.752	33.009	32.764
15	34.838	35.170	35.024
16	37.762	38.054	38.080
17	42.541	42.735	42.304
18	44.687	44.522	44.852
19	47.151	48.041	47.804
20	51.211	51.372	52.219
30	98.412
40	145.779
50	205.028
60	285.358
70	382.459
80	502.689
90	593.944
100	711.794
110	869.933
200	2638.982
500	15207.597
1000	57588.305
